merek,model,tahun,transmisi,bahan_bakar,kilometer,warna,lokasi,harga
Daihatsu,Sigra,2022,Manual,Bensin,47055.0,Biru,Yogyakarta,104500000
Toyota,Innova,2017,Manual,Bensin,71386.0,Merah,Surabaya,144300000
Toyota,Yaris,2020,Manual,Bensin,38447.0,Abu-abu,Surabaya,149600000
Daihatsu,Terios,2009,Automatic,,,,Medan,29300000
Mitsubishi,Pajero Sport,2016,Automatic,Bensin,140859.0,Putih,Makassar,197000000
Mitsubishi,Pajero Sport,2017,Automatic,Diesel,141683.0,Merah,Semarang,234400000
BMW,Seri 3,2017,Automatic,Bensin,158310.0,Biru,Makassar,276400000
Toyota,Rush,2012,Automatic,Bensin,110262.0,Putih,Yogyakarta,50500000
Toyota,Fortuner,2017,Automatic,Diesel,153229.0,Abu-abu,Surabaya,181400000
Honda,BR-V,2010,Automatic,Bensin,319518.0,Putih,Yogyakarta,28700000
Daihatsu,Gran Max,2012,Manual,Bensin,288247.0,Hitam,Makassar,21200000
Toyota,Avanza,2015,Manual,Bensin,85516.0,Abu-abu,Bali,58600000
Mercedes-Benz,GLA,2018,Manual,Diesel,77279.0,Hitam,Semarang,332300000
Daihatsu,Sigra,2021,Automatic,Bensin,45819.0,Hitam,Makassar,99200000
Toyota,Yaris,2021,Automatic,Bensin,16660.0,Merah,Medan,177100000
Daihatsu,Terios,2009,Manual,Bensin,181174.0,Merah,Jakarta,25800000
Daihatsu,Sigra,2008,Manual,Bensin,78524.0,Silver,Medan,18900000
Suzuki,Carry,2019,Manual,Bensin,52067.0,Merah,Surabaya,80100000
Mercedes-Benz,E-Class,2021,Automatic,Bensin,73237.0,Merah,Bandung,888100000
Toyota,Avanza,2017,Manual,Diesel,123726.0,Abu-abu,Medan,77300000
Daihatsu,Ayla,2022,Automatic,Bensin,,,Surabaya,107300000
Toyota,Avanza,2020,Manual,Bensin,95318.0,Hitam,Jakarta,121100000
Mitsubishi,Triton,2011,Automatic,Bensin,286663.0,Hitam,Makassar,44300000
Toyota,Agya,2009,Manual,Bensin,356381.0,Silver,Surabaya,12600000
Toyota,Rush,2012,Manual,Bensin,145897.0,Putih,Semarang,50300000
Nissan,X-Trail,2019,Automatic,Bensin,114920.0,Putih,Jakarta,207100000
Toyota,Innova,2019,Automatic,Bensin,92477.0,Hitam,Bandung,180900000
Mitsubishi,Pajero Sport,2016,,,,,Jakarta,178800000
Mercedes-Benz,C-Class,2022,Automatic,Bensin,50751.0,Abu-abu,Bali,653100000
Suzuki,XL7,2008,Automatic,Diesel,184286.0,Hitam,Bandung,30600000
Honda,Jazz,2019,Manual,Bensin,50301.0,Abu-abu,Semarang,107700000
Honda,CR-V,2011,Manual,Bensin,273862.0,Putih,Semarang,56900000
Suzuki,Baleno,2020,Automatic,Diesel,50491.0,Silver,Bandung,138700000
Toyota,Calya,2021,MT,Bensin,31499.0,Silver,Bali,105900000
Toyota,Rush,2022,Automatic,Bensin,29928.0,Silver,Medan,183500000
Honda,Mobilio,2010,Manual,Bensin,261253.0,Abu-abu,Yogyakarta,28300000
Mitsubishi,Triton,2013,Automatic,Diesel,198210.0,Silver,Bali,69300000
Toyota,Avanza,2016,,,,,Surabaya,61800000
Toyota,Fortuner,2010,Automatic,Diesel,154851.0,Merah,Bali,74100000
Toyota,Innova,2023,Manual,Bensin,19916.0,Merah,Makassar,338200000
Mitsubishi,Pajero Sport,2013,,,,,Medan,120200000
Toyota,Fortuner,2022,Automatic,Diesel,37456.0,Hitam,Surabaya,380000000
Honda,CR-V,2018,Automatic,Diesel,89022.0,Merah,Semarang,198500000
Toyota,Yaris,2011,Manual,Bensin,156036.0,Biru,Jakarta,40400000
Toyota,Fortuner,2019,Automatic,Diesel,120943.0,Silver,Surabaya,237800000
Toyota,Calya,2013,Manual,Bensin,167152.0,Biru,Yogyakarta,34000000
Honda,HR-V,2019,Matic,Bensin,69832.0,Putih,Semarang,193300000
Toyota,Avanza,2011,Manual,Bensin,208178.0,Merah,Makassar,28500000
Toyota,Agya,2020,Manual,Bensin,52529.0,Biru,Surabaya,96100000
Honda,City,2013,Automatic,Bensin,152847.0,Silver,Bali,69500000
Toyota,Calya,2013,Manual,Bensin,97339.0,Silver,Yogyakarta,36500000
Toyota,Agya,2014,Manual,Bensin,156301.0,Abu-abu,Bandung,29700000
Daihatsu,Sigra,2015,Manual,Bensin,96593.0,Silver,Yogyakarta,39400000
Honda,BR-V,2016,Automatic,Bensin,83990.0,Putih,Jakarta,95400000
Toyota,Agya,2022,Manual,Diesel,47085.0,Abu-abu,Jakarta,113100000
Honda,CR-V,2022,Automatic,Bensin,40199.0,Hitam,Yogyakarta,338800000
Honda,CR-V,2008,Manual,Diesel,307441.0,Merah,Surabaya,42300000
Toyota,Innova,2021,Manual,Diesel,65974.0,Putih,Yogyakarta,234300000
Suzuki,XL7,2014,Automatic,Bensin,139063.0,Silver,Surabaya,64800000
Toyota,Yaris,2018,Automatic,Bensin,109222.0,Putih,Surabaya,101000000
Honda,BR-V,2014,Matic,Bensin,105569.0,Merah,Surabaya,66700000
Mercedes-Benz,C-Class,2015,Automatic,Bensin,144040.0,Hitam,Surabaya,256800000
Suzuki,Ertiga,2012,Manual,Diesel,244076.0,Hitam,Surabaya,37500000
Mitsubishi,Xpander,2013,Manual,Bensin,179529.0,Putih,Medan,47000000
Honda,HR-V,2016,Automatic,Bensin,146344.0,Silver,Bali,108800000
Honda,Brio,2010,Manual,Bensin,244792.0,Silver,Yogyakarta,18800000
Toyota,Agya,2010,Manual,Diesel,271932.0,Biru,Semarang,16700000
BMW,Seri 3,2018,Automatic,Bensin,100864.0,Putih,Medan,351100000
Toyota,Agya,2018,MT,Bensin,144980.0,Silver,Semarang,58900000
Honda,CR-V,2017,Manual,Bensin,106686.0,Putih,Yogyakarta,164200000
Suzuki,Baleno,2017,Automatic,Bensin,79552.0,Merah,Surabaya,85400000
Toyota,Avanza,2014,Manual,Bensin,111881.0,Putih,Medan,51800000
Suzuki,Ignis,2022,Manual,,,,Jakarta,111000000
Honda,BR-V,2022,Manual,Bensin,54507.0,Merah,Yogyakarta,193300000
Suzuki,Ignis,2011,Manual,Bensin,391732.0,Merah,Jakarta,19400000
Suzuki,Ignis,2011,Manual,Bensin,159154.0,Merah,Bandung,27000000
Mercedes-Benz,E-Class,2013,Matic,Bensin,115028.0,Biru,Makassar,271900000
Toyota,Innova,2015,Automatic,Diesel,87639.0,Hitam,Semarang,118600000
Honda,BR-V,2010,Automatic,Bensin,207995.0,Biru,Bandung,39800000
Daihatsu,Gran Max,2099,Automatic,Diesel,164159.0,Biru,Bali,33800000
Honda,CR-V,2008,Manual,Bensin,203489.0,Abu-abu,Surabaya,43100000
Honda,Jazz,2010,Automatic,Bensin,113969.0,Abu-abu,Yogyakarta,37800000
Toyota,Avanza,2009,Automatic,Bensin,316349.0,Biru,Jakarta,22700000
Toyota,Yaris,2013,Automatic,Bensin,58561.0,Hitam,Medan,55900000
Toyota,Yaris,2022,Manual,Bensin,27802.0,Hitam,Makassar,157200000
Toyota,Calya,2017,Manual,Bensin,130058.0,Merah,Yogyakarta,52900000
Daihatsu,Gran Max,2013,Manual,Bensin,199266.0,Silver,Bandung,28700000
Daihatsu,Sigra,2008,Manual,Bensin,221167.0,Putih,Surabaya,15800000
Toyota,Rush,2012,Automatic,Bensin,253386.0,Putih,Semarang,38500000
Honda,Brio,2014,Manual,Bensin,155800.0,Biru,Jakarta,34000000
Suzuki,Baleno,2018,Manual,Bensin,102861.0,Hitam,Makassar,81500000
